performance_score,unused-javascript,total-byte-weight,resource_image_bytes,resource_font_bytes,unused-css-rules,unused-javascript_savings_bytes,resource_third-party_bytes,category,strategy
1.0,0.0,10863.0,4223.0,0.0,0.0,0.0,0.0,Food & Hospitality,mobile
0.34,1950.0,5969663.0,4442213.0,197268.0,150.0,431744.0,707052.0,Food & Hospitality,mobile
0.56,750.0,4168004.0,1564011.0,306930.0,0.0,646059.0,3828824.0,"Health, Beauty & Fitness",mobile
0.46,1800.0,1667844.0,437060.0,66179.0,0.0,280624.0,867579.0,"Health, Beauty & Fitness",mobile
0.39,600.0,5626990.0,2056602.0,312681.0,150.0,781487.0,2293987.0,"Health, Beauty & Fitness",mobile
0.28,1800.0,7456248.0,777898.0,392664.0,0.0,2076445.0,5190114.0,"Health, Beauty & Fitness",mobile
0.34,0.0,6103342.0,454716.0,366504.0,0.0,1932815.0,3853852.0,"Health, Beauty & Fitness",mobile
0.42,0.0,6645081.0,1442706.0,366508.0,0.0,1496919.0,3923500.0,"Health, Beauty & Fitness",mobile
0.38,0.0,5096633.0,236028.0,366481.0,0.0,1526303.0,3782367.0,"Health, Beauty & Fitness",mobile
0.29,4680.0,6030556.0,333876.0,366508.0,0.0,1933170.0,3918684.0,"Health, Beauty & Fitness",mobile
0.28,4130.0,8031451.0,271469.0,437466.0,0.0,3016137.0,5968195.0,"Health, Beauty & Fitness",mobile
0.32,0.0,7042999.0,570091.0,381502.0,0.0,1939439.0,4568203.0,"Health, Beauty & Fitness",mobile
0.37,0.0,6681047.0,536714.0,381506.0,0.0,1816794.0,4367261.0,"Health, Beauty & Fitness",mobile
0.31,0.0,6350253.0,394481.0,322236.0,1460.0,1924987.0,4964302.0,"Health, Beauty & Fitness",mobile
0.33,0.0,7697376.0,786598.0,366614.0,2100.0,2837700.0,6013604.0,"Health, Beauty & Fitness",mobile
0.32,900.0,4399468.0,598421.0,117857.0,1500.0,1235363.0,2989186.0,"Health, Beauty & Fitness",mobile
0.31,1050.0,4411165.0,610852.0,117857.0,1250.0,1234398.0,3011005.0,"Health, Beauty & Fitness",mobile
0.3,0.0,5965592.0,2149863.0,122750.0,1950.0,1253363.0,2932709.0,"Health, Beauty & Fitness",mobile
0.27,4240.0,6050653.0,254833.0,149624.0,2740.0,1081247.0,4924503.0,"Health, Beauty & Fitness",mobile
0.28,6150.0,5331027.0,1125550.0,122754.0,2100.0,1300553.0,3252554.0,"Health, Beauty & Fitness",mobile
0.48,2670.0,3281884.0,1192496.0,164924.0,440.0,374073.0,2274036.0,"Health, Beauty & Fitness",mobile
0.3,5250.0,7700121.0,1202469.0,1467517.0,450.0,1740345.0,5486818.0,"Health, Beauty & Fitness",mobile
0.34,5400.0,4762604.0,628115.0,703537.0,150.0,1117326.0,3558521.0,"Health, Beauty & Fitness",mobile
0.33,410.0,6707881.0,810840.0,1533977.0,450.0,1309616.0,5118499.0,"Health, Beauty & Fitness",mobile
0.26,4560.0,6502563.0,551711.0,657446.0,470.0,1690186.0,5358578.0,"Health, Beauty & Fitness",mobile
0.09,5700.0,5594892.0,985776.0,944844.0,300.0,1214362.0,4062010.0,"Health, Beauty & Fitness",mobile
0.36,0.0,7702900.0,662977.0,1246671.0,0.0,1982354.0,6261491.0,"Health, Beauty & Fitness",mobile
0.4,150.0,6364408.0,868764.0,1391426.0,450.0,1241520.0,4805290.0,"Health, Beauty & Fitness",mobile
0.42,750.0,7463153.0,509432.0,1175040.0,300.0,1807287.0,6179731.0,"Health, Beauty & Fitness",mobile
0.3,0.0,7724795.0,1023495.0,1437463.0,390.0,1800827.0,6077819.0,"Health, Beauty & Fitness",mobile
0.09,0.0,10501657.0,4099887.0,242983.0,600.0,2672972.0,6366045.0,"Health, Beauty & Fitness",mobile
0.09,0.0,7725623.0,1703501.0,243206.0,900.0,2163322.0,6052029.0,"Health, Beauty & Fitness",mobile
0.42,0.0,4644099.0,1468833.0,152444.0,870.0,1040997.0,3214507.0,"Health, Beauty & Fitness",mobile
0.27,13090.0,21423288.0,835581.0,926192.0,450.0,2807440.0,20130516.0,"Health, Beauty & Fitness",mobile
0.03,11270.0,7433561.0,399868.0,1084741.0,600.0,2757907.0,6438295.0,"Health, Beauty & Fitness",mobile
0.11,8700.0,5805880.0,550696.0,977233.0,0.0,1836048.0,4792648.0,"Health, Beauty & Fitness",mobile
0.27,9600.0,7181737.0,1490423.0,1058126.0,300.0,2025260.0,6269510.0,"Health, Beauty & Fitness",mobile
0.14,4500.0,8007387.0,172586.0,1142392.0,0.0,3120649.0,7098151.0,"Health, Beauty & Fitness",mobile
0.07,8700.0,6046412.0,767571.0,977232.0,0.0,1885426.0,5008466.0,"Health, Beauty & Fitness",mobile
0.12,6780.0,6162544.0,397035.0,1173898.0,0.0,1978269.0,5269454.0,"Health, Beauty & Fitness",mobile
0.34,8100.0,6796587.0,1297627.0,1028211.0,0.0,1962818.0,5895081.0,"Health, Beauty & Fitness",mobile
0.08,8550.0,5275551.0,156893.0,977102.0,150.0,1904047.0,4306831.0,"Health, Beauty & Fitness",mobile
0.58,1510.0,4200027.0,1926891.0,0.0,4590.0,271665.0,162024.0,Government & Public Services,mobile
0.5,2260.0,4195891.0,1548298.0,87719.0,4770.0,471851.0,163572.0,Government & Public Services,mobile
0.56,1360.0,3312015.0,1032313.0,0.0,4680.0,265484.0,153662.0,Government & Public Services,mobile
0.26,2110.0,7193011.0,572216.0,9911.0,4530.0,484110.0,4045645.0,Government & Public Services,mobile
0.3,2110.0,4940937.0,1020098.0,0.0,4680.0,399727.0,1251664.0,Government & Public Services,mobile
0.18,1360.0,4504392.0,2179614.0,9911.0,4530.0,270447.0,192413.0,Government & Public Services,mobile
0.55,1810.0,4431890.0,1794675.0,87711.0,4680.0,391729.0,163573.0,Government & Public Services,mobile
0.57,1960.0,5892324.0,3223038.0,87732.0,4680.0,390418.0,163573.0,Government & Public Services,mobile
0.54,9900.0,5251269.0,1341055.0,97531.0,1500.0,1511534.0,2173199.0,Government & Public Services,mobile
0.42,8700.0,6598607.0,2042569.0,220782.0,390.0,1444479.0,5077600.0,"Health, Beauty & Fitness",mobile
0.28,2700.0,6073735.0,1365851.0,220782.0,0.0,1466387.0,4295128.0,"Health, Beauty & Fitness",mobile
0.34,4800.0,6510667.0,1763311.0,220781.0,300.0,1459557.0,4692946.0,"Health, Beauty & Fitness",mobile
0.29,2400.0,6416763.0,1638642.0,220782.0,0.0,1416640.0,4330713.0,"Health, Beauty & Fitness",mobile
0.34,4500.0,6249733.0,1670240.0,220782.0,150.0,1431976.0,4460771.0,"Health, Beauty & Fitness",mobile
0.27,3150.0,6530329.0,1792471.0,220782.0,0.0,1460191.0,4722647.0,"Health, Beauty & Fitness",mobile
0.35,2850.0,6417538.0,1688059.0,220781.0,150.0,1458856.0,4616848.0,"Health, Beauty & Fitness",mobile
0.33,3000.0,7052709.0,2582262.0,220782.0,300.0,1371918.0,5271795.0,"Health, Beauty & Fitness",mobile
0.34,3090.0,6252056.0,1533000.0,220781.0,150.0,1471721.0,4462992.0,"Health, Beauty & Fitness",mobile
0.6,1290.0,5272746.0,3833729.0,46391.0,300.0,452312.0,776732.0,"Health, Beauty & Fitness",mobile
0.54,1310.0,5274334.0,3833988.0,46390.0,300.0,456344.0,777518.0,"Health, Beauty & Fitness",mobile
0.52,900.0,2208486.0,345791.0,46391.0,210.0,547099.0,1488772.0,"Health, Beauty & Fitness",mobile
0.52,1170.0,7779762.0,6337805.0,46391.0,0.0,453003.0,776226.0,"Health, Beauty & Fitness",mobile
